,key,TotalPopulation,ResidentPopulation,SingaporeCitizenPopulation,Non_ResidentPopulation,SingaporePermanentResident,ResidentPopulation_Growth_Rate,Non_ResidentPopulation_Growth_Rate,SingaporeCitizen_Growth_Rate,SingaporePR_Growth_Rate
2,1990,3047132,2735868,2623736,311264,112132,2.150542350727447,9.353796134471072,1.5584266099943012,16.005243819783832
3,1991,3135083,2794704,2664625,340379,130079,2.150542350727447,9.353796134471072,1.5584266099943012,16.005243819783832
4,1992,3230698,2849754,2702430,380944,147324,1.96979715919825,11.917597736640628,1.4187737486513141,13.257328238993239
5,1993,3313471,2904547,2742826,408924,161721,1.9227273652392407,7.344911588054948,1.4948028256051016,9.772338519182199
6,1994,3419048,2959350,2784168,459698,175182,1.8868002480249002,12.416488149387161,1.5072775305469577,8.3235943383976
7,1995,3524506,3013515,2823707,510991,189808,1.8303005727609012,11.157977628791071,1.4201370032268068,8.349031293169396
8,1996,3670704,3068132,2860419,602572,207713,1.8124017965731154,17.922233463994463,1.3001348935990809,9.433216724268734
9,1997,3796038,3123403,2894794,672635,228609,1.8014544354675754,11.627324203580658,1.2017470167831945,10.060034759499882
10,1998,3927213,3180018,2929731,747195,250287,1.8126063143308668,11.084763653392994,1.206890714848785,9.482566303163908
11,1999,3958723,3229681,2958379,729042,271302,1.5617207198198146,-2.429486278682269,0.977837214406363,8.396360977597727
12,2000,4027887,3273363,2985886,754524,287477,1.352517477732329,3.4952718773404,0.9297997315421691,5.96199069671437
13,2001,4138012,3325902,3017092,812110,308810,1.6050465530404123,7.632096527081966,1.0451169267681415,7.420767574449427
14,2002,4175950,3382944,3043397,793006,339547,1.7150836073943188,-2.352390685990813,0.8718660219840801,9.953369385706413
15,2003,4114826,3366891,3032541,747935,334350,-0.4745275121314507,-5.683563554374116,-0.35670666692515507,-1.5305686694330967
16,2004,4166664,3413266,3057087,753398,356179,1.377383467418447,0.7304110651326745,0.809420218885748,6.528787199042929
17,2005,4265762,3467814,3081001,797948,386813,1.5981174628640238,5.913209220093507,0.7822479373338131,8.60073165458941
18,2006,4401365,3525894,3107924,875471,417970,1.674830310968245,9.71529473098498,0.8738393788252585,8.054796503736949
19,2007,4588599,3583082,3133848,1005517,449234,1.6219432575114379,14.854404086486017,0.8341259310073124,7.479962676747132
20,2008,4839396,3642659,3164438,1196737,478221,1.662730576637661,19.017082754443738,0.9761162634563059,6.4525392111906
21,2009,4987573,3733876,3200693,1253697,533183,2.504132283587346,4.759608836360862,1.1457010691945824,11.493012644781398
22,2010,5076732,3771721,3230719,1305011,541002,1.0135580292436108,4.093014500313874,0.938109340695914,1.4664758628838426
23,2011,5183688,3789251,3257228,1394437,532023,0.4647745684264626,6.85250928919372,0.8205294239455707,-1.6596981157186108
24,2012,5312437,3818205,3285140,1494232,533065,0.76410879089297,7.1566517526428175,0.8569249681017022,0.195856194187094
25,2013,5399162,3844751,3313507,1554411,531244,0.6952481598028415,4.027420106114721,0.863494402065057,-0.3416093722154012
26,2014,5469724,3870739,3343030,1598985,527709,0.6759345403642536,2.867581353966231,0.8909895165454707,-0.6654192800295111
27,2015,5535002,3902690,3375023,1632312,527667,0.8254496105265741,2.0842597022486142,0.9570060693442795,-0.007958931911333789
28,2016,5607283,3933559,3408943,1673724,524616,0.7909672559183623,2.5370149824298194,1.005030187942424,-0.5782055728328683
29,2017,5612253,3965796,3439177,1646457,526619,0.8195377265219683,-1.629121647296683,0.8869024797422576,0.3818030711987497
30,2018,5638676,3994283,3471936,1644393,522347,0.7183173315016722,-0.12536009139625381,0.9525243975520903,-0.8112126603863512
31,2019,5703569,4026209,3500940,1677360,525269,0.7992923886464665,2.004812718127602,0.835384062379041,0.5593982544170872
32,2020,5685807,4044210,3523191,1641597,521019,0.4470955183896397,-2.1321004435541524,0.6355721606197129,-0.8091092373621933
33,2021,5453566,3986842,3498191,1466724,488651,-1.418521787938809,-10.652614496737023,-0.7095840106312701,-6.212441388893685
34,2022,5637022,4073239,3553749,1563783,519490,2.1670535225624787,6.617400410711216,1.5881922971044071,6.311048171394318
35,2023,5917648,4149253,3610658,1768395,538595,1.866180697965425,13.084424117668503,1.6013792758014178,3.6776453829717504
