5 year bond yields,Core inflation,"Lime, Cement, & Fabricated Construction Materials Excl Glass & Clay Materials",Clay Construction Materials & Refractory Construction Materials,GDPm (Current Prices),Personal Income m,GDP per capita,Unemployment Rate,Median Household Inc,ResidentPopulation,ResidentPopulation_Growth_Rate
2.038976171494012,107.90953594874732,139.50368050343013,135.6505894204888,162693.27169018245,78262.65102842671,92990.89656591234,2.5297255085593133,9271.026163517186,4134615.8398365737,0.5681932697247039
2.1283363041372354,109.45232568317606,143.8502580684256,140.58606713110382,170006.20465679697,81234.56473690331,96158.21243062885,2.4036831059789803,9509.654324345642,4158108.4487674967,0.5681932697247039
2.1987925758150486,111.02498760057246,148.37829101878486,145.5566215013791,177479.97080374428,84306.58104539666,99826.86969939717,2.4395294418994906,9723.29242098453,4189717.784268223,0.7601854518752393
2.2692108538988487,112.59770258002364,152.90669099783054,150.52722133373294,184951.51063434803,87378.64233421053,101922.08255073805,2.49218834985102,9963.133310950048,4216038.19774497,0.6282144724777616
2.3225763001588207,114.2050597797828,157.64533745537682,155.548747450952,189135.0389468607,89625.01225215134,102443.97965392454,2.56160505162194,10229.16903965726,4237087.43444254,0.4992657967100022
2.4119364328019004,115.7478495142115,161.9919150203738,160.48422516156734,196447.97191346475,92596.92596062558,105611.29551867153,2.4355626490412403,10467.797200485296,4260580.043373408,0.5544518326410008
2.4823927044797913,117.32051143160813,166.5199479707319,165.45477953184277,203921.73806042215,95668.94226912077,109279.952787423,2.471408984961518,10681.435297124515,4292189.378874064,0.7419021630592271
2.5528109825635177,118.89322641105919,171.04834794977856,170.4253793641969,211393.27789102544,98741.00355793552,111375.16563876334,2.524067892913324,10921.276187089918,4318509.792351008,0.6132164998704726
2.60617642882349,120.50058361081841,175.7869944073249,175.44690548141625,215576.8062035347,100987.37347587566,111897.06274193572,2.5934845946844103,11187.311915797565,4339559.029048231,0.487418987320698
2.695536561466828,122.04337334524716,180.13357197231963,180.3823831920307,222889.73917015005,103959.2871843514,115064.37860667864,2.467442192103472,11425.94007662549,4363051.637979416,0.5413593587258569
